"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"18","RT @VittorGuidoni: se defende o sus = namora comigo",FALSE,0,NA,2020-10-07 20:17:15,FALSE,NA,"1313936448324804609",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","xdeatxh",2373,TRUE,FALSE,NA,NA
"19","RT @joseildoramos: Bolsonaro prometeu ministros técnicos, para quem não lembra. Entregou, numa pandemia, o Ministério da Saúde a um militar…",FALSE,0,NA,2020-10-07 20:17:14,FALSE,NA,"1313936442020761606",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","thiagofc1982",35,TRUE,FALSE,NA,NA
"20","RT @alexaguiarpoa: O homem escalado por @jairbolsonaro para enfrentar a mais mortal epidemia da história brasileira confessa que “não sabia…",FALSE,0,NA,2020-10-07 20:17:13,FALSE,NA,"1313936439646867459",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","rodrigosdsilva",33,TRUE,FALSE,NA,NA
"21","RT @Geraldoodeboch1: @BrBomboclaat Os norte americanos comem como se tivessem SUS",FALSE,0,NA,2020-10-07 20:17:13,FALSE,NA,"1313936438732500992",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","fckshety",23,TRUE,FALSE,NA,NA
"22","RT @VittorGuidoni: se defende o sus = namora comigo",FALSE,0,NA,2020-10-07 20:17:12,FALSE,NA,"1313936435171516417",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rhayycosta",2373,TRUE,FALSE,NA,NA
"23","RT @SamPancher: “Eu não sabia nem o que era o SUS” - Ministro da Saúde Eduardo Pazuello https://t.co/RwN1SaQirm",FALSE,0,NA,2020-10-07 20:17:11,FALSE,NA,"1313936431602163712",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","flsilva03",514,TRUE,FALSE,NA,NA
"24","RT @GuilhermeBoulos: “Eu não sabia nem o que era o SUS."" Essa frase foi dita HOJE pelo atual Ministro da Saúde do governo Bolsonaro, no mei…",FALSE,0,NA,2020-10-07 20:17:11,FALSE,NA,"1313936429526011906",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","marcelajannuzzi",1815,TRUE,FALSE,NA,NA
"25","RT @reportersalles: O ""amigo do amigo do meu pai"" mandou soltar auxiliares do governo do Pará que são acusados de desviar recursos da Saúde…",FALSE,0,NA,2020-10-07 20:17:07,FALSE,NA,"1313936412362911748",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","riquemf06",576,TRUE,FALSE,NA,NA
"26","RT @GuilhermeBoulos: “Eu não sabia nem o que era o SUS."" Essa frase foi dita HOJE pelo atual Ministro da Saúde do governo Bolsonaro, no mei…",FALSE,0,NA,2020-10-07 20:17:05,FALSE,NA,"1313936407170355200",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ediro70",1815,TRUE,FALSE,NA,NA
"27","RT @erikakokay: URGENTE

Ministro da Saúde de Bolsonaro acaba de assumir que ""não sabia nem o que era o SUS"" antes da pandemia. A gente sab…",FALSE,0,NA,2020-10-07 20:17:02,FALSE,NA,"1313936393824014339",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","ElettraSantana",126,TRUE,FALSE,NA,NA
"28","O ministro da Saúde, Eduardo Pazuello, afirmou que “nem sabia o que era SUS”, o Sistema Único de Saúde. ...… https://t.co/VIYAu2KFIv",FALSE,0,NA,2020-10-07 20:17:02,TRUE,NA,"1313936392964255757",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","maisdireito_",0,FALSE,FALSE,NA,NA
"29","RT @GuilhermeBoulos: “Eu não sabia nem o que era o SUS."" Essa frase foi dita HOJE pelo atual Ministro da Saúde do governo Bolsonaro, no mei…",FALSE,0,NA,2020-10-07 20:17:01,FALSE,NA,"1313936390581899265",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","muppetmisspigg",1815,TRUE,FALSE,NA,NA
"30","RT @HaddadDebochado: Ministro da Saúde: “Eu nem sabia o que era o SUS”.

<U+0001F644><U+0001F644><U+0001F644><U+0001F644><U+0001F644><U+0001F644><U+0001F644><U+0001F644><U+0001F644><U+0001F644><U+0001F644><U+0001F644><U+0001F644>",FALSE,0,NA,2020-10-07 20:17:00,FALSE,NA,"1313936384173002763",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","MariaBico3",78,TRUE,FALSE,NA,NA
